plant	background
59,102,40	197,229,221
61,103,42	185,225,212
63,105,43	189,208,203
62,107,45	195,193,192
61,110,43	219,225,182
58,108,39	253,255,225
58,110,40	255,255,255
59,102,40	196,235,225
61,100,39	186,222,215
63,103,41	189,209,205
61,103,42	191,200,192
59,106,41	218,213,181
59,103,41	250,255,222
57,107,41	255,255,255
60,104,40	196,227,228
58,103,35	186,219,217
58,102,37	189,205,206
58,104,40	193,184,192
59,108,41	218,224,178
59,106,43	252,255,220
59,107,41	255,255,255
61,108,40	195,229,223
57,103,36	183,220,214
53,103,38	189,209,206
56,103,39	193,200,191
58,104,40	219,219,179
60,104,42	255,255,223
61,107,41	255,255,255
59,110,41	192,235,217
58,103,37	182,227,212
56,104,38	189,206,206
58,102,36	196,191,192
59,101,39	220,228,177
61,104,41	254,255,225
61,107,43	255,255,255
57,105,43	191,241,225
60,97,40	183,223,215
60,101,39	191,197,208
60,101,39	196,199,193
59,102,40	221,221,180
61,104,41	254,255,225
61,107,41	255,255,255
57,104,44	196,232,232
58,102,41	185,227,220
59,102,41	194,204,209
59,102,41	198,187,195
60,101,41	221,227,181
59,105,40	253,255,225
61,108,40	255,255,255
59,110,40	38,31,24
59,111,45	49,40,31
65,113,50	79,51,39
67,118,47	111,87,67
70,123,44	145,126,96
73,130,48	180,173,143
68,120,50	202,218,191
60,112,45	39,31,25
62,112,46	49,38,32
68,112,47	78,57,41
72,122,47	110,85,68
73,130,47	145,129,94
74,126,48	183,173,145
69,115,50	203,212,195
64,113,49	40,28,26
66,115,48	46,39,31
70,116,45	77,53,38
75,124,47	108,88,65
72,128,48	144,131,93
71,128,49	182,174,142
66,113,50	203,214,189
70,109,49	39,31,27
70,114,49	46,36,31
74,115,49	76,57,35
77,125,51	111,80,64
74,130,52	143,129,92
69,122,48	179,177,139
63,109,45	203,214,183
67,114,47	38,29,29
71,117,50	47,39,34
74,122,51	77,55,39
76,131,54	110,88,64
73,126,55	142,127,91
68,121,48	177,176,137
58,109,39	203,214,183
66,117,49	40,32,31
70,122,50	50,38,36
74,126,51	79,58,41
76,128,52	111,87,65
72,125,53	141,132,88
66,115,46	177,185,136
57,101,41	204,211,181
67,121,49	43,29,29
70,128,50	53,38,34
71,128,50	80,51,40
73,128,50	108,87,66
68,121,49	143,128,93
64,109,46	179,176,139
56,103,42	202,206,183
21,45,14	180,198,184
22,46,15	181,204,189
24,45,15	182,204,195
